"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"SerializationUtils","clone(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"SerializationUtils","clone(object)","ConditionKind.THROWS","SerializationException","ConditionKind.THROWS","SerializationException","","assert !(object instanceof java.io.Serializable);","AssertionRelation.UNEXPECTED",""
"SerializationUtils","clone(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.roundtrip(args[0]));","AssertionRelation.UNEXPECTED",""
"SerializationUtils","deserialize(objectData)","ConditionKind.PARAM","objectData","ConditionKind.PARAM","objectData","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"SerializationUtils","deserialize(objectData)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"SerializationUtils","deserialize(objectData)","ConditionKind.THROWS","SerializationException","ConditionKind.THROWS","SerializationException","","assert !receiverObjectID.deserialize(args[0] instanceof byte[]) instanceof java.lang.Object;","AssertionRelation.UNEXPECTED",""
"SerializationUtils","deserialize(objectData)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"SerializationUtils","deserialize(inputStream)","ConditionKind.PARAM","inputStream","ConditionKind.PARAM","inputStream","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"SerializationUtils","deserialize(inputStream)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"SerializationUtils","deserialize(inputStream)","ConditionKind.THROWS","SerializationException","ConditionKind.THROWS","SerializationException","","assert !receiverObjectID.deserialize(args[0] instanceof java.io.InputStream ? args[0] : null) instanceof java.lang.Object;","AssertionRelation.UNEXPECTED",""
"SerializationUtils","deserialize(inputStream)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.lang.Object;","AssertionRelation.UNEXPECTED",""
"SerializationUtils","roundtrip(obj)","ConditionKind.PARAM","obj","ConditionKind.PARAM","obj","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"SerializationUtils","roundtrip(obj)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.deserialize(receiverObjectID.serialize(args[0])));","AssertionRelation.UNEXPECTED",""
"SerializationUtils","serialize(obj)","ConditionKind.PARAM","obj","ConditionKind.PARAM","obj","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"SerializationUtils","serialize(obj)","ConditionKind.THROWS","SerializationException","ConditionKind.THROWS","SerializationException","","assert !(args[0] instanceof java.io.Serializable);","AssertionRelation.UNEXPECTED",""
"SerializationUtils","serialize(obj)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && methodResultID.length > 0;","AssertionRelation.UNEXPECTED",""
"SerializationUtils","serialize(obj outputStream)","ConditionKind.PARAM","obj","ConditionKind.PARAM","obj","","assert (args[0] == null) || (args[0] != null);","AssertionRelation.UNEXPECTED",""
"SerializationUtils","serialize(obj outputStream)","ConditionKind.PARAM","outputStream","ConditionKind.PARAM","outputStream","assert (args[1]==null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"SerializationUtils","serialize(obj outputStream)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[1]==null;","assert args[1] == null;","AssertionRelation.IDENTICAL",""
"SerializationUtils","serialize(obj outputStream)","ConditionKind.THROWS","SerializationException","ConditionKind.THROWS","SerializationException","","assert false;","AssertionRelation.UNEXPECTED",""
