"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"CompareToBuilder","reflectionCompare(lhs rhs)","ConditionKind.PARAM","lhs","ConditionKind.PARAM","lhs","","assert args[0] != null || args[1] != null;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs)","ConditionKind.PARAM","rhs","ConditionKind.PARAM","rhs","","assert args[0] == null || args[1] == null || args[1].getClass().isInstance(args[0]);","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[1]==null;","","AssertionRelation.MISSING",""
"CompareToBuilder","reflectionCompare(lhs rhs)","ConditionKind.THROWS","ClassCastException","ConditionKind.THROWS","ClassCastException","","","AssertionRelation.EMPTY",""
"CompareToBuilder","reflectionCompare(lhs rhs)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID < 0 || methodResultID == 0 || methodResultID > 0;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients)","ConditionKind.PARAM","lhs","ConditionKind.PARAM","lhs","","assert args[0] != null || args[1] == null;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients)","ConditionKind.PARAM","rhs","ConditionKind.PARAM","rhs","","assert args[1] != null || args[0] == null;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients)","ConditionKind.PARAM","compareTransients","ConditionKind.PARAM","compareTransients","","assert args[2] == true || args[2] == false;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[1]==null;","assert (args[0] == null && args[1] != null) || (args[0] != null && args[1] == null);","AssertionRelation.WEAKER",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients)","ConditionKind.THROWS","ClassCastException","ConditionKind.THROWS","ClassCastException","","assert !(args[0].getClass().isInstance(args[1]));","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID < 0 && args[0] < args[1]) || (methodResultID == 0 && args[0] == args[1]) || (methodResultID > 0 && args[0] > args[1]);","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients reflectUpToClass excludeFields)","ConditionKind.PARAM","lhs","ConditionKind.PARAM","lhs","","","AssertionRelation.EMPTY",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients reflectUpToClass excludeFields)","ConditionKind.PARAM","rhs","ConditionKind.PARAM","rhs","","","AssertionRelation.EMPTY",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients reflectUpToClass excludeFields)","ConditionKind.PARAM","compareTransients","ConditionKind.PARAM","compareTransients","","","AssertionRelation.EMPTY",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients reflectUpToClass excludeFields)","ConditionKind.PARAM","reflectUpToClass","ConditionKind.PARAM","reflectUpToClass","","","AssertionRelation.EMPTY",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients reflectUpToClass excludeFields)","ConditionKind.PARAM","excludeFields","ConditionKind.PARAM","excludeFields","","","AssertionRelation.EMPTY",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients reflectUpToClass excludeFields)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[1]==null;","","AssertionRelation.MISSING",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients reflectUpToClass excludeFields)","ConditionKind.THROWS","ClassCastException","ConditionKind.THROWS","ClassCastException","","","AssertionRelation.EMPTY",""
"CompareToBuilder","reflectionCompare(lhs rhs compareTransients reflectUpToClass excludeFields)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.PARAM","lhs","ConditionKind.PARAM","lhs","","assert args[0] != null || args[1] != null;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.PARAM","rhs","ConditionKind.PARAM","rhs","","assert args[1] != null || args[0] != null;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.PARAM","excludeFields","ConditionKind.PARAM","excludeFields","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[1]==null;","assert (args[0] == null && args[1] != null) || (args[0] != null && args[1] == null);","AssertionRelation.WEAKER",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.THROWS","ClassCastException","ConditionKind.THROWS","ClassCastException","","assert !(args[0].getClass().isInstance(args[1]));","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID < 0 && args[0] < args[1]) || (methodResultID == 0 && args[0] == args[1]) || (methodResultID > 0 && args[0] > args[1]);","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.PARAM","lhs","ConditionKind.PARAM","lhs","","assert args[0] != null || args[1] != null;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.PARAM","rhs","ConditionKind.PARAM","rhs","","assert args[1] != null || args[0] != null;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.PARAM","excludeFields","ConditionKind.PARAM","excludeFields","","assert args[2] == null || args[2] instanceof String;","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[1]==null;","assert (args[0] == null && args[1] != null) || (args[0] != null && args[1] == null);","AssertionRelation.WEAKER",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.THROWS","ClassCastException","ConditionKind.THROWS","ClassCastException","","assert !(args[0].getClass().isInstance(args[1]));","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","reflectionCompare(lhs rhs excludeFields)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID < 0 && args[0] < args[1]) || (methodResultID == 0 && args[0] == args[1]) || (methodResultID > 0 && args[0] > args[1]);","AssertionRelation.UNEXPECTED",""
"CompareToBuilder","append(lhs rhs)","ConditionKind.PARAM","lhs","ConditionKind.PARAM","lhs","","assert args[0] == true || args[0] == false;","AssertionRelation.UNEXPECTED",""
