"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ComparableUtils","between(b c)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","between(b c)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","between(b c)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.test(receiverObjectID) == (args[0].compareTo(args[1]) <= 0 && args[0].compareTo(receiverObjectID) <= 0 && receiverObjectID.compareTo(args[1]) <= 0) || (args[0].compareTo(args[1]) >= 0 && args[0].compareTo(receiverObjectID) >= 0 && receiverObjectID.compareTo(args[1]) >= 0);","AssertionRelation.UNEXPECTED",""
"ComparableUtils","betweenExclusive(b c)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","betweenExclusive(b c)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","betweenExclusive(b c)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResult.test(args[0]) == ((args[0].compareTo(args[1]) > 0 && args[0].compareTo(args[2]) < 0) || (args[0].compareTo(args[1]) < 0 && args[0].compareTo(args[2]) > 0)) && !args[0].equals(args[1]) && !args[0].equals(args[2]);","AssertionRelation.UNEXPECTED",""
"ComparableUtils","ge(b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","ge(b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.test(receiverObjectID) == (receiverObjectID.compareTo(args[0]) >= 0);","AssertionRelation.UNEXPECTED",""
"ComparableUtils","gt(b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","gt(b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.test((A) comparableObject) == ((Comparable) comparableObject).compareTo(args[0]) > 0;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","is(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","is(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","le(b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","le(b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.test((A) -> ((Comparable<A>) (A)).compareTo(args[0]) <= 0);","AssertionRelation.UNEXPECTED",""
"ComparableUtils","lt(b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","lt(b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.test((A) -> ((Comparable) (A)).compareTo(args[0]) < 0);","AssertionRelation.UNEXPECTED",""
"ComparableUtils","max(comparable1 comparable2)","ConditionKind.PARAM","comparable1","ConditionKind.PARAM","comparable1","","assert args[0] == null || args[0] instanceof Comparable;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","max(comparable1 comparable2)","ConditionKind.PARAM","comparable2","ConditionKind.PARAM","comparable2","","assert args[1] == null || args[1] instanceof Comparable;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","max(comparable1 comparable2)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert ((Comparable)args[0] != null && (Comparable)args[1] != null) ? (((Comparable)args[0]).compareTo(args[1]) >= 0 ? methodResultID == args[0] : methodResultID == args[1]) : (args[0] == null ? methodResultID == args[1] : methodResultID == args[0]);","AssertionRelation.UNEXPECTED",""
"ComparableUtils","min(comparable1 comparable2)","ConditionKind.PARAM","comparable1","ConditionKind.PARAM","comparable1","","assert args[0] == null || args[0] instanceof Comparable;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","min(comparable1 comparable2)","ConditionKind.PARAM","comparable2","ConditionKind.PARAM","comparable2","","assert args[1] == null || args[1] instanceof Comparable;","AssertionRelation.UNEXPECTED",""
"ComparableUtils","min(comparable1 comparable2)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == args[0] && ((args[1] == null) || (args[0] != null && ((Comparable)args[0]).compareTo(args[1]) <= 0))) || (methodResultID == args[1] && ((args[0] == null) || (args[1] != null && ((Comparable)args[1]).compareTo(args[0]) <= 0)));","AssertionRelation.UNEXPECTED",""
