"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"NumericEntityEscaper","above(codePoint)","ConditionKind.PARAM","codePoint","ConditionKind.PARAM","codePoint","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"NumericEntityEscaper","above(codePoint)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof NumericEntityEscaper;","AssertionRelation.UNEXPECTED",""
"NumericEntityEscaper","below(codePoint)","ConditionKind.PARAM","codePoint","ConditionKind.PARAM","codePoint","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"NumericEntityEscaper","below(codePoint)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof NumericEntityEscaper;","AssertionRelation.UNEXPECTED",""
"NumericEntityEscaper","between(codePointLow codePointHigh)","ConditionKind.PARAM","codePointLow","ConditionKind.PARAM","codePointLow","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"NumericEntityEscaper","between(codePointLow codePointHigh)","ConditionKind.PARAM","codePointHigh","ConditionKind.PARAM","codePointHigh","","assert args[1] > args[0];","AssertionRelation.UNEXPECTED",""
"NumericEntityEscaper","between(codePointLow codePointHigh)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof NumericEntityEscaper;","AssertionRelation.UNEXPECTED",""
"NumericEntityEscaper","outsideOf(codePointLow codePointHigh)","ConditionKind.PARAM","codePointLow","ConditionKind.PARAM","codePointLow","","assert args[0] < args[1];","AssertionRelation.UNEXPECTED",""
"NumericEntityEscaper","outsideOf(codePointLow codePointHigh)","ConditionKind.PARAM","codePointHigh","ConditionKind.PARAM","codePointHigh","","assert args[1] > args[0];","AssertionRelation.UNEXPECTED",""
"NumericEntityEscaper","outsideOf(codePointLow codePointHigh)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof NumericEntityEscaper;","AssertionRelation.UNEXPECTED",""
