"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"DurationUtils","accept(consumer duration)","ConditionKind.PARAM","consumer","ConditionKind.PARAM","consumer","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","accept(consumer duration)","ConditionKind.PARAM","duration","ConditionKind.PARAM","duration","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","accept(consumer duration)","ConditionKind.THROWS","GmtTimeZone","ConditionKind.THROWS","T","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","get(key unit def)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","get(key unit def)","ConditionKind.PARAM","unit","ConditionKind.PARAM","unit","assert (args[1]==null) == false;","assert args[1] != null;","AssertionRelation.EQUIVALENT",""
"DurationUtils","get(key unit def)","ConditionKind.PARAM","def","ConditionKind.PARAM","def","","assert args[2] >= 0;","AssertionRelation.UNEXPECTED",""
"DurationUtils","get(key unit def)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.toMillisInt() >= 0;","AssertionRelation.UNEXPECTED",""
"DurationUtils","getMillis(key def)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","getMillis(key def)","ConditionKind.PARAM","def","ConditionKind.PARAM","def","","assert true;","AssertionRelation.UNEXPECTED",""
"DurationUtils","getMillis(key def)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(Duration.ofMillis(System.getProperty(args[0]) != null ? Long.parseLong(System.getProperty(args[0])) : args[1]));","AssertionRelation.UNEXPECTED",""
"DurationUtils","getNanosOfMiili(duration)","ConditionKind.PARAM","duration","ConditionKind.PARAM","duration","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"DurationUtils","getNanosOfMiili(duration)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0 && methodResultID <= 999999;","AssertionRelation.UNEXPECTED",""
"DurationUtils","getNanosOfMilli(duration)","ConditionKind.PARAM","duration","ConditionKind.PARAM","duration","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"DurationUtils","getNanosOfMilli(duration)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0 && methodResultID <= 999999;","AssertionRelation.UNEXPECTED",""
"DurationUtils","getSeconds(key def)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","getSeconds(key def)","ConditionKind.PARAM","def","ConditionKind.PARAM","def","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"DurationUtils","getSeconds(key def)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(Duration.ofSeconds(args[1])) || receiverObjectID.getSeconds(args[0], args[1]).equals(methodResultID);","AssertionRelation.UNEXPECTED",""
"DurationUtils","isPositive(duration)","ConditionKind.PARAM","duration","ConditionKind.PARAM","duration","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","isPositive(duration)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[0].toMillis() + args[0].getNanosOfMilli(args[0]) * 1000000L > 0);","AssertionRelation.UNEXPECTED",""
"DurationUtils","of(consumer)","ConditionKind.PARAM","consumer","ConditionKind.PARAM","consumer","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"DurationUtils","of(consumer)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","of(runnable)","ConditionKind.PARAM","runnable","ConditionKind.PARAM","runnable","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"DurationUtils","of(runnable)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","since(startInclusive)","ConditionKind.PARAM","startInclusive","ConditionKind.PARAM","startInclusive","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"DurationUtils","since(startInclusive)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"DurationUtils","toChronoUnit(timeUnit)","ConditionKind.PARAM","timeUnit","ConditionKind.PARAM","timeUnit","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"DurationUtils","toChronoUnit(timeUnit)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.toChronoUnit(args[0]));","AssertionRelation.UNEXPECTED",""
"DurationUtils","toDuration(amount timeUnit)","ConditionKind.PARAM","amount","ConditionKind.PARAM","amount","assert args[0]>0 || args[0]<0;","assert args[0] >= Long.MIN_VALUE && args[0] <= Long.MAX_VALUE;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"DurationUtils","toDuration(amount timeUnit)","ConditionKind.PARAM","timeUnit","ConditionKind.PARAM","timeUnit","assert (args[1]==null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"DurationUtils","toDuration(amount timeUnit)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof Duration;","AssertionRelation.UNEXPECTED",""
"DurationUtils","toMillisInt(duration)","ConditionKind.PARAM","duration","ConditionKind.PARAM","duration","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"DurationUtils","toMillisInt(duration)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == Math.min(Math.max(args[0].toMillis(), Integer.MIN_VALUE), Integer.MAX_VALUE));","AssertionRelation.UNEXPECTED",""
"DurationUtils","zeroIfNull(duration)","ConditionKind.PARAM","duration","ConditionKind.PARAM","duration","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"DurationUtils","zeroIfNull(duration)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(args[0]);","assert (methodResultID == args[0]) || (methodResultID == Duration.ZERO);","AssertionRelation.STRONGER",""
