"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"FastDateFormat","org.apache.commons.lang3.time.FastDateFormat(pattern timeZone locale)","ConditionKind.PARAM","pattern","ConditionKind.PARAM","pattern","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","org.apache.commons.lang3.time.FastDateFormat(pattern timeZone locale)","ConditionKind.PARAM","timeZone","ConditionKind.PARAM","timeZone","assert args[1]!=null;","assert args[1] != null;","AssertionRelation.IDENTICAL",""
"FastDateFormat","org.apache.commons.lang3.time.FastDateFormat(pattern timeZone locale)","ConditionKind.PARAM","locale","ConditionKind.PARAM","locale","assert args[2]!=null;","assert args[2] != null;","AssertionRelation.IDENTICAL",""
"FastDateFormat","org.apache.commons.lang3.time.FastDateFormat(pattern timeZone locale)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[2]==null;","assert args[0]==null || args[1]==null || args[2]==null;","AssertionRelation.STRONGER",""
"FastDateFormat","org.apache.commons.lang3.time.FastDateFormat(pattern timeZone locale centuryStart)","ConditionKind.PARAM","pattern","ConditionKind.PARAM","pattern","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","org.apache.commons.lang3.time.FastDateFormat(pattern timeZone locale centuryStart)","ConditionKind.PARAM","timeZone","ConditionKind.PARAM","timeZone","assert args[1]!=null;","assert args[1] != null;","AssertionRelation.IDENTICAL",""
"FastDateFormat","org.apache.commons.lang3.time.FastDateFormat(pattern timeZone locale centuryStart)","ConditionKind.PARAM","locale","ConditionKind.PARAM","locale","assert args[2]!=null;","assert args[2] != null;","AssertionRelation.IDENTICAL",""
"FastDateFormat","org.apache.commons.lang3.time.FastDateFormat(pattern timeZone locale centuryStart)","ConditionKind.PARAM","centuryStart","ConditionKind.PARAM","centuryStart","assert args[3]==null;","assert args[3] == null || args[3] instanceof Date;","AssertionRelation.STRONGER",""
"FastDateFormat","org.apache.commons.lang3.time.FastDateFormat(pattern timeZone locale centuryStart)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[2]==null;","assert args[0] == null || args[1] == null || args[2] == null;","AssertionRelation.STRONGER",""
"FastDateFormat","getDateInstance(style)","ConditionKind.PARAM","style","ConditionKind.PARAM","style","","assert (args[0] == 0 || args[0] == 1 || args[0] == 2 || args[0] == 3);","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert !java.util.Locale.getDefault().getDisplayName().contains(""date"");","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof FastDateFormat;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style locale)","ConditionKind.PARAM","style","ConditionKind.PARAM","style","","assert (args[0] == FULL || args[0] == MEDIUM || args[0] == SHORT);","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style locale)","ConditionKind.PARAM","locale","ConditionKind.PARAM","locale","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style locale)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert args[1] != null && !args[1].getDisplayName().contains(""date"");","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style locale)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastDateFormat","getDateInstance(style timeZone)","ConditionKind.PARAM","style","ConditionKind.PARAM","style","","assert (args[0] == FULL || args[0] == LONG || args[0] == MEDIUM || args[0] == SHORT);","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style timeZone)","ConditionKind.PARAM","timeZone","ConditionKind.PARAM","timeZone","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style timeZone)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert !receiverObjectID.getPattern();","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style timeZone)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastDateFormat","getDateInstance(style timeZone locale)","ConditionKind.PARAM","style","ConditionKind.PARAM","style","","assert args[0] == FULL || args[0] == LONG || args[0] == MEDIUM || args[0] == SHORT;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style timeZone locale)","ConditionKind.PARAM","timeZone","ConditionKind.PARAM","timeZone","","assert args[1] == null || args[1] instanceof TimeZone;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style timeZone locale)","ConditionKind.PARAM","locale","ConditionKind.PARAM","locale","","assert args[2] == null || args[2] instanceof Locale;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style timeZone locale)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert args[2] != null && !args[2].getDateFormatSymbols().getZoneStrings()[0][1].contains(""yyyy"");","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateInstance(style timeZone locale)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastDateFormat","getDateTimeInstance(dateStyle timeStyle)","ConditionKind.PARAM","dateStyle","ConditionKind.PARAM","dateStyle","","assert args[0] == FULL || args[0] == LONG || args[0] == MEDIUM || args[0] == SHORT;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateTimeInstance(dateStyle timeStyle)","ConditionKind.PARAM","timeStyle","ConditionKind.PARAM","timeStyle","","assert args[1] == FULL || args[1] == LONG || args[1] == MEDIUM || args[1] == SHORT;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateTimeInstance(dateStyle timeStyle)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert !java.util.Locale.getDefault().getDisplayName().contains(""date"") || !java.util.Locale.getDefault().getDisplayName().contains(""time"");","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateTimeInstance(dateStyle timeStyle)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastDateFormat","getDateTimeInstance(dateStyle timeStyle locale)","ConditionKind.PARAM","dateStyle","ConditionKind.PARAM","dateStyle","","assert args[0] == FULL || args[0] == LONG || args[0] == MEDIUM || args[0] == SHORT;","AssertionRelation.UNEXPECTED",""
"FastDateFormat","getDateTimeInstance(dateStyle timeStyle locale)","ConditionKind.PARAM","timeStyle","ConditionKind.PARAM","timeStyle","","assert args[1] == FULL || args[1] == LONG || args[1] == MEDIUM || args[1] == SHORT;","AssertionRelation.UNEXPECTED",""
