"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"MutablePair","org.apache.commons.lang3.tuple.MutablePair(left right)","ConditionKind.PARAM","left","ConditionKind.PARAM","left","","assert true;","AssertionRelation.UNEXPECTED",""
"MutablePair","org.apache.commons.lang3.tuple.MutablePair(left right)","ConditionKind.PARAM","right","ConditionKind.PARAM","right","","assert true;","AssertionRelation.UNEXPECTED",""
"MutablePair","emptyArray()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.length == 0;","AssertionRelation.UNEXPECTED",""
"MutablePair","of(left right)","ConditionKind.PARAM","left","ConditionKind.PARAM","left","","assert true;","AssertionRelation.UNEXPECTED",""
"MutablePair","of(left right)","ConditionKind.PARAM","right","ConditionKind.PARAM","right","","assert true;","AssertionRelation.UNEXPECTED",""
"MutablePair","of(left right)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && methodResultID.getLeft() == args[0] && methodResultID.getRight() == args[1];","AssertionRelation.UNEXPECTED",""
"MutablePair","of(pair)","ConditionKind.PARAM","pair","ConditionKind.PARAM","pair","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"MutablePair","of(pair)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && ((MutablePair)methodResultID).getLeft() == args[0].getKey() && ((MutablePair)methodResultID).getRight() == args[0].getValue();","AssertionRelation.UNEXPECTED",""
"MutablePair","ofNonNull(left right)","ConditionKind.PARAM","left","ConditionKind.PARAM","left","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"MutablePair","ofNonNull(left right)","ConditionKind.PARAM","right","ConditionKind.PARAM","right","assert (args[1]==null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"MutablePair","ofNonNull(left right)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","assert args[0]==null || args[1]==null;","AssertionRelation.UNEXPECTED",""
"MutablePair","ofNonNull(left right)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && methodResultID.getLeft() == args[0] && methodResultID.getRight() == args[1];","AssertionRelation.UNEXPECTED",""
"MutablePair","ofNonNull(pair)","ConditionKind.PARAM","pair","ConditionKind.PARAM","pair","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"MutablePair","ofNonNull(pair)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"MutablePair","ofNonNull(pair)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && methodResultID.getLeft() == args[0].getKey() && methodResultID.getRight() == args[0].getValue();","AssertionRelation.UNEXPECTED",""
"MutablePair","setLeft(left)","ConditionKind.PARAM","left","ConditionKind.PARAM","left","","assert true;","AssertionRelation.UNEXPECTED",""
"MutablePair","setRight(right)","ConditionKind.PARAM","right","ConditionKind.PARAM","right","","assert true;","AssertionRelation.UNEXPECTED",""
"MutablePair","setValue(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"MutablePair","setValue(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getRight();","AssertionRelation.UNEXPECTED",""
