"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"WordUtils","wrap(str wrapLength)","ConditionKind.PARAM","wrapLength","ConditionKind.PARAM","wrapLength","assert args[1]<1;","assert args[1].getClass().getSimpleName().equals(""Integer"") && (int)args[1] >= 1;","AssertionRelation.UNSUPPORTED","Variable 'args[1]' used as both Type.INT and Type.REF"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords)","ConditionKind.PARAM","wrapLength","ConditionKind.PARAM","wrapLength","assert args[1]<1;","assert args[1] >= 1 : ""wrapLength must be greater than or equal to 1"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords)","ConditionKind.PARAM","newLineStr","ConditionKind.PARAM","newLineStr","assert args[2]==null;","assert args[2] != null || args[2].isEmpty() : ""newLineStr is empty"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords)","ConditionKind.PARAM","wrapLongWords","ConditionKind.PARAM","wrapLongWords","assert args[3]==true;","assert args[3] == true || args[3] == false : ""wrapLongWords must be a boolean"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords wrapOn)","ConditionKind.PARAM","wrapLength","ConditionKind.PARAM","wrapLength","assert args[1]<1;","assert args[1] >= 1 : ""wrapLength must be greater than or equal to 1"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords wrapOn)","ConditionKind.PARAM","newLineStr","ConditionKind.PARAM","newLineStr","assert args[2]==null;","assert args[2] != null || System.getProperty(""line.separator"") != null : ""newLineStr is null and system property line separator is null"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords wrapOn)","ConditionKind.PARAM","wrapLongWords","ConditionKind.PARAM","wrapLongWords","assert args[3]==true;","assert args[3] == true || args[3] == false : ""wrapLongWords must be a boolean value"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"DurationUtils","toDuration(amount timeUnit)","ConditionKind.PARAM","amount","ConditionKind.PARAM","amount","assert args[0]>0 || args[0]<0;","assert args[0] >= Long.MIN_VALUE && args[0] <= Long.MAX_VALUE;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"ByteConsumer","nop()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.NOP);","assert methodResultID == receiverObjectID.nop();","AssertionRelation.INCOMPARABLE",""
"FastDateFormat","format(calendar buf)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.toString());","assert methodResultID == args[1];","AssertionRelation.INCOMPARABLE",""
"FastDateFormat","format(date buf)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.toString());","assert methodResultID == args[1];","AssertionRelation.INCOMPARABLE",""
"FastDateFormat","format(millis buf)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.toString());","assert methodResultID == args[1];","AssertionRelation.INCOMPARABLE",""
"DurationUtils","get(key unit def)","ConditionKind.PARAM","unit","ConditionKind.PARAM","unit","assert (args[1]==null) == false;","assert args[1] != null;","AssertionRelation.EQUIVALENT",""
"FastDateFormat","applyRules(calendar buf)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(args[1]);","assert methodResultID == args[1];","AssertionRelation.EQUIVALENT",""
"FastDateFormat","format(calendar buf)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(args[1]);","assert methodResultID == args[1];","AssertionRelation.EQUIVALENT",""
"FastDateFormat","format(date buf)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(args[1]);","assert methodResultID == args[1];","AssertionRelation.EQUIVALENT",""
